precinct,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional
SS17,802,128,449,225,0,802,128,449,225,0,1023,88,519,416,0,1023,88,519,416,0
SS18A,203,14,138,51,0,203,14,138,51,0,216,11,107,98,0,216,11,107,98,0
SS18B,69,3,44,22,0,69,3,44,22,0,86,3,44,39,0,86,3,44,39,0
SS19A,806,44,544,218,0,806,44,544,218,0,325,23,229,73,0,325,23,229,73,0
SS19B,604,46,416,142,0,604,46,416,142,0,293,14,203,76,0,293,14,203,76,0
SS20,472,43,284,145,0,472,43,284,145,0,307,24,204,79,0,307,24,204,79,0
SS22,665,102,336,227,0,665,102,336,227,0,557,40,244,273,0,557,40,244,273,0
SS25,320,47,167,106,0,320,47,167,106,0,570,51,258,261,0,570,51,258,261,0
SS26,887,37,548,302,0,887,37,548,302,0,217,11,132,74,0,217,11,132,74,0
SS29A,700,62,384,254,0,700,62,384,254,0,566,53,247,266,0,566,53,247,266,0
SS31,307,64,166,77,0,307,64,166,77,0,284,16,149,119,0,284,16,149,119,0
