precinct,AlexanderHernandez,AlexanderHernandez_AbsenteebyMail,AlexanderHernandez_AdvanceinPerson,AlexanderHernandez_ElectionDay,AlexanderHernandez_Provisional,AmyKremer,AmyKremer_AbsenteebyMail,AmyKremer_AdvanceinPerson,AmyKremer_ElectionDay,AmyKremer_Provisional,AndrePollard,AndrePollard_AbsenteebyMail,AndrePollard_AdvanceinPerson,AndrePollard_ElectionDay,AndrePollard_Provisional,BobGray,BobGray_AbsenteebyMail,BobGray_AdvanceinPerson,BobGray_ElectionDay,BobGray_Provisional,BruceLevell,BruceLevell_AbsenteebyMail,BruceLevell_AdvanceinPerson,BruceLevell_ElectionDay,BruceLevell_Provisional,DEM,DEM_AbsenteebyMail,DEM_AdvanceinPerson,DEM_ElectionDay,DEM_Provisional,DanMoody,DanMoody_AbsenteebyMail,DanMoody_AdvanceinPerson,DanMoody_ElectionDay,DanMoody_Provisional,DavidAbroms,DavidAbroms_AbsenteebyMail,DavidAbroms_AdvanceinPerson,DavidAbroms_ElectionDay,DavidAbroms_Provisional,IND,IND_AbsenteebyMail,IND_AdvanceinPerson,IND_ElectionDay,IND_Provisional,JonOssoff,JonOssoff_AbsenteebyMail,JonOssoff_AdvanceinPerson,JonOssoff_ElectionDay,JonOssoff_Provisional,JudsonHill,JudsonHill_AbsenteebyMail,JudsonHill_AdvanceinPerson,JudsonHill_ElectionDay,JudsonHill_Provisional,KarenHandel,KarenHandel_AbsenteebyMail,KarenHandel_AdvanceinPerson,KarenHandel_ElectionDay,KarenHandel_Provisional,KeithGrawert,KeithGrawert_AbsenteebyMail,KeithGrawert_AdvanceinPerson,KeithGrawert_ElectionDay,KeithGrawert_Provisional,KurtWilson,KurtWilson_AbsenteebyMail,KurtWilson_AdvanceinPerson,KurtWilson_ElectionDay,KurtWilson_Provisional,MohammadAliBhuiyan,MohammadAliBhuiyan_AbsenteebyMail,MohammadAliBhuiyan_AdvanceinPerson,MohammadAliBhuiyan_ElectionDay,MohammadAliBhuiyan_Provisional,REP,REP_AbsenteebyMail,REP_AdvanceinPerson,REP_ElectionDay,REP_Provisional,RaginEdwards,RaginEdwards_AbsenteebyMail,RaginEdwards_AdvanceinPerson,RaginEdwards_ElectionDay,RaginEdwards_Provisional,RebeccaQuigg,RebeccaQuigg_AbsenteebyMail,RebeccaQuigg_AdvanceinPerson,RebeccaQuigg_ElectionDay,RebeccaQuigg_Provisional,RichardKeatley,RichardKeatley_AbsenteebyMail,RichardKeatley_AdvanceinPerson,RichardKeatley_ElectionDay,RichardKeatley_Provisional,RonSlotin,RonSlotin_AbsenteebyMail,RonSlotin_AdvanceinPerson,RonSlotin_ElectionDay,RonSlotin_Provisional,WilliamLlop,WilliamLlop_AbsenteebyMail,WilliamLlop_AdvanceinPerson,WilliamLlop_ElectionDay,WilliamLlop_Provisional
SS08B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,1,21,0,0,0,0,0,0,138,6,50,82,0,33,0,5,28,0,1,0,0,1,0,0,0,0,0,0,138,6,50,82,0,15,0,5,10,0,40,2,7,31,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,118,2,18,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0
SS08C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,10,0,1,0,0,1,0,132,3,48,81,0,11,1,3,7,0,1,0,1,0,0,0,0,0,0,0,131,3,47,81,0,8,0,2,6,0,21,0,9,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,1,17,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SS08D,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,18,0,3,15,0,0,0,0,0,0,223,12,79,131,1,35,0,10,25,0,2,0,0,2,0,0,0,0,0,0,214,12,75,126,1,17,0,1,16,0,46,0,9,37,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,124,0,23,101,0,1,0,1,0,0,2,0,0,2,0,2,0,1,1,0,4,0,2,2,0,0,0,0,0,0
SS11A,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,90,2,10,78,0,4,1,0,3,0,666,16,210,437,3,68,0,15,53,0,8,0,1,7,0,0,0,0,0,0,655,15,207,430,3,72,2,20,50,0,194,2,34,155,3,3,0,2,1,0,3,0,0,3,0,4,0,1,3,0,449,7,83,356,3,4,1,1,2,0,2,0,1,1,0,2,0,1,1,0,3,0,0,3,0,1,0,0,1,0
SS11B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,13,0,0,0,0,0,0,259,4,100,151,4,22,0,8,14,0,3,0,2,1,0,0,0,0,0,0,252,4,99,145,4,9,0,3,6,0,50,0,7,42,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,101,0,22,78,1,3,0,1,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0
SS11C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,42,0,15,27,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,0,15,26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SS12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,97,1,13,83,0,7,0,1,6,0,495,44,165,283,3,77,1,8,68,0,10,0,3,7,0,0,0,0,0,0,491,44,163,281,3,94,0,18,74,2,206,7,30,168,1,3,0,0,3,0,1,0,0,1,0,0,0,0,0,0,497,9,73,411,4,1,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,1,0,0,1,0
SS15A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,2,0,1,1,0,435,7,150,277,1,19,0,6,13,0,1,0,0,1,0,0,0,0,0,0,424,7,142,274,1,3,0,1,2,0,35,1,9,25,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,69,1,17,51,0,6,0,3,3,0,1,0,1,0,0,1,0,1,0,0,3,0,3,0,0,1,0,0,1,0
SS15B,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,31,0,7,23,1,0,0,0,0,0,307,6,116,184,1,30,1,6,23,0,3,0,1,2,0,1,1,0,0,0,303,6,114,182,1,17,0,2,15,0,55,1,9,45,0,1,0,0,1,0,4,0,0,3,1,3,0,0,3,0,147,2,25,118,2,1,0,1,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
SS16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,82,0,5,77,0,0,0,0,0,0,428,24,149,255,0,94,0,18,76,0,7,0,2,5,0,0,0,0,0,0,420,23,149,248,0,168,2,25,141,0,249,2,23,224,0,2,0,1,1,0,1,0,0,1,0,2,0,0,2,0,607,4,74,529,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,1,0,6,0,1,0,0,1,0
SS17,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,193,2,34,154,3,15,0,2,13,0,563,31,262,268,2,168,5,50,113,0,9,0,3,6,0,2,0,1,1,0,550,29,258,261,2,57,0,9,48,0,289,1,62,226,0,5,0,1,4,0,14,0,2,11,1,0,0,0,0,0,754,8,164,578,4,6,2,1,3,0,1,0,0,1,0,1,0,0,1,0,5,0,3,2,0,4,0,1,3,0
SS18A,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,31,0,1,30,0,0,0,0,0,0,156,2,85,69,0,21,0,7,14,0,2,0,0,2,0,0,0,0,0,0,151,2,82,67,0,46,0,10,36,0,64,0,13,51,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,167,1,33,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,0,0
SS18B,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,0,1,6,2,0,0,0,0,0,59,1,34,24,0,9,0,4,5,0,2,0,1,1,0,0,0,0,0,0,58,1,34,23,0,13,0,4,9,0,20,0,6,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,56,0,17,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
SS19A,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,45,0,14,31,0,4,0,3,1,0,574,16,264,293,1,42,1,27,14,0,4,0,2,2,0,2,0,1,1,0,560,16,257,286,1,25,0,11,14,0,102,0,38,63,1,4,0,2,2,0,4,0,0,4,0,3,0,2,1,0,235,1,100,133,1,6,0,1,5,0,5,0,4,1,0,2,0,1,1,0,1,0,1,0,0,2,0,1,1,0
SS19B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,9,20,0,1,0,0,1,0,455,23,244,187,1,36,2,13,21,0,7,0,2,5,0,0,0,0,0,0,437,19,236,181,1,26,0,12,14,0,96,2,36,58,0,4,0,0,4,0,4,0,2,2,0,1,0,0,1,0,204,4,74,126,0,4,1,3,0,0,1,0,0,1,0,1,0,0,1,0,12,3,5,4,0,0,0,0,0,0
SS20,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,28,0,9,19,0,1,0,1,0,0,344,5,153,185,1,48,1,27,20,0,5,0,4,1,0,0,0,0,0,0,336,5,149,181,1,17,0,5,12,0,109,1,43,65,0,2,0,1,1,0,4,0,0,4,0,0,0,0,0,0,217,2,92,123,0,2,0,2,0,0,2,0,1,1,0,1,0,1,0,0,3,0,0,3,0,1,0,0,1,0
SS22,2,0,1,1,0,2,0,1,1,0,1,0,0,1,0,76,4,10,62,0,11,0,4,7,0,463,34,187,237,5,78,0,40,36,2,9,0,6,3,0,3,0,1,2,0,455,32,186,232,5,63,1,13,49,0,180,0,39,141,0,3,0,0,3,0,2,0,0,2,0,2,0,0,2,0,426,5,113,306,2,2,0,1,1,0,2,1,0,1,0,1,0,0,1,0,3,1,0,2,0,0,0,0,0,0
SS25,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,130,1,14,115,0,1,0,0,1,0,250,16,117,116,1,92,0,18,74,0,3,0,0,3,0,2,0,0,2,0,247,15,117,114,1,35,0,2,33,0,137,1,8,128,0,3,0,2,1,0,5,0,0,5,0,1,0,0,1,0,407,2,44,361,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SS26,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,22,1,13,8,0,0,0,0,0,0,637,5,270,359,3,23,1,8,14,0,7,0,4,3,0,0,0,0,0,0,622,5,262,352,3,17,0,11,6,0,67,0,26,41,0,3,0,1,2,0,2,0,0,2,0,0,0,0,0,0,144,2,63,79,0,6,0,4,2,0,4,0,2,2,0,2,0,1,1,0,3,0,1,2,0,2,0,0,2,0
SS29A,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,70,1,9,60,0,0,0,0,0,0,544,26,238,275,5,75,1,21,53,0,8,0,1,7,0,0,0,0,0,0,538,26,235,272,5,62,3,8,51,0,162,3,42,117,0,4,0,1,3,0,12,0,2,10,0,1,0,0,1,0,398,8,85,305,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,3,0,1,2,0,3,0,1,2,0
SS31,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,29,0,8,21,0,0,0,0,0,0,235,10,110,114,1,26,0,13,13,0,5,0,2,3,0,0,0,0,0,0,226,10,105,110,1,33,0,10,23,0,96,0,21,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,57,136,1,6,0,4,2,0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0
