"","precinct","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RodneyStooksbury","RodneyStooksbury_AbsenteebyMail","RodneyStooksbury_AdvanceinPerson","RodneyStooksbury_ElectionDay","RodneyStooksbury_Provisional","TomPrice","TomPrice_AbsenteebyMail","TomPrice_AdvanceinPerson","TomPrice_ElectionDay","TomPrice_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"26","Marietta 6A",272,20,118,133,1,203,12,90,101,0,272,20,118,133,1,203,12,90,101,0,1323,1949,"Cobb",1,475,475,67.8809645972294,35.9032501889645,24.3714725500257,35.9032501889645,24.3714725500257,57.2631578947368,57.2631578947368,20.5593348450491,13.9558748075936,42.7368421052632,42.7368421052632,15.3439153439153,10.415597742432,1,0,0
"27","Marietta 6B",801,40,362,394,5,1101,75,424,601,1,801,40,362,394,5,1101,75,424,601,1,1977,2346,"Cobb",1,1902,1902,84.2710997442455,96.206373292868,81.074168797954,96.206373292868,81.074168797954,42.1135646687697,42.1135646687697,40.51593323217,34.1432225063939,57.8864353312303,57.8864353312303,55.690440060698,46.9309462915601,0,1,0
"28","Marietta 7A",209,19,93,97,0,153,9,79,64,1,209,19,93,97,0,153,9,79,64,1,1590,2667,"Cobb",1,362,362,59.6175478065242,22.7672955974843,13.5733033370829,22.7672955974843,13.5733033370829,57.7348066298343,57.7348066298343,13.1446540880503,7.83652043494563,42.2651933701657,42.2651933701657,9.62264150943396,5.73678290213723,1,0,0
"29","McCleskey 01",359,30,181,148,0,885,62,382,441,0,359,30,181,148,0,885,62,382,441,0,1286,1518,"Cobb",1,1244,1244,84.7167325428195,96.7340590979782,81.9499341238472,96.7340590979782,81.9499341238472,28.8585209003215,28.8585209003215,27.9160186625194,23.6495388669302,71.1414790996785,71.1414790996785,68.8180404354588,58.300395256917,0,1,0
"30","Mount Bethel 01",788,67,316,402,3,2165,226,652,1285,2,788,67,316,402,3,2165,226,652,1285,2,3078,3618,"Cobb",1,2953,2953,85.0746268656716,95.9389213775179,81.6196793808734,95.9389213775179,81.6196793808734,26.6847273958686,26.6847273958686,25.6010396361274,21.779988944168,73.3152726041314,73.3152726041314,70.3378817413905,59.8396904367054,0,1,0
"31","Mount Bethel 03",690,61,346,282,1,1467,158,630,678,1,690,61,346,282,1,1467,158,630,678,1,2263,2731,"Cobb",1,2157,2157,82.8634199926767,95.3159522757402,78.9820578542658,95.3159522757402,78.9820578542658,31.9888734353268,31.9888734353268,30.4904993371631,25.2654705236177,68.0111265646732,68.0111265646732,64.8254529385771,53.7165873306481,0,1,0
"32","Mount Bethel 04",587,58,245,283,1,1555,185,512,857,1,587,58,245,283,1,1555,185,512,857,1,2222,2681,"Cobb",1,2142,2142,82.8795225662066,96.3996399639964,79.8955613577023,96.3996399639964,79.8955613577023,27.4042950513539,27.4042950513539,26.4176417641764,21.8948153674002,72.5957049486461,72.5957049486461,69.98199819982,58.0007459903021,0,1,0
"33","Murdock 01",802,76,283,441,2,2016,180,620,1216,0,802,76,283,441,2,2016,180,620,1216,0,2934,3415,"Cobb",1,2818,2818,85.9150805270864,96.0463531015678,82.5183016105417,96.0463531015678,82.5183016105417,28.4599006387509,28.4599006387509,27.33469665985,23.4846266471449,71.5400993612491,71.5400993612491,68.7116564417178,59.0336749633968,0,1,0
"34","Nicholson 01",535,26,235,273,1,1082,94,436,551,1,535,26,235,273,1,1082,94,436,551,1,1666,2082,"Cobb",1,1617,1617,80.0192122958694,97.0588235294118,77.6657060518732,97.0588235294118,77.6657060518732,33.0859616573902,33.0859616573902,32.1128451380552,25.6964457252642,66.9140383426098,66.9140383426098,64.9459783913565,51.969260326609,0,1,0
"35","Palmer 01",262,14,100,148,0,608,58,237,312,1,262,14,100,148,0,608,58,237,312,1,1776,2190,"Cobb",1,870,870,81.0958904109589,48.9864864864865,39.7260273972603,48.9864864864865,39.7260273972603,30.1149425287356,30.1149425287356,14.7522522522523,11.9634703196347,69.8850574712644,69.8850574712644,34.2342342342342,27.7625570776256,0,1,0
