"","precinct","DEM","DEM_AbsenteebyMail","DEM_AdvanceinPerson","DEM_ElectionDay","DEM_Provisional","REP","REP_AbsenteebyMail","REP_AdvanceinPerson","REP_ElectionDay","REP_Provisional","RodneyStooksbury","RodneyStooksbury_AbsenteebyMail","RodneyStooksbury_AdvanceinPerson","RodneyStooksbury_ElectionDay","RodneyStooksbury_Provisional","TomPrice","TomPrice_AbsenteebyMail","TomPrice_AdvanceinPerson","TomPrice_ElectionDay","TomPrice_Provisional","ballotsCast","totalVoters","COUNTY","PRECINCTS","IDRV","DRV","BC_TV","IDRV_BC","IDRV_TV","DRV_BC","DRV_TV","DEM_IDRV","DEM_DRV","DEM_BC","DEM_TV","REP_IDRV","REP_DRV","REP_BC","REP_TV","DPW","RPW","IPW"
"131","JC12",445,42,351,52,0,1309,103,971,231,4,445,42,351,52,0,1309,103,971,231,4,1836,2197,"Fulton",1,1754,1754,83.5685025034137,95.5337690631808,79.8361401911698,95.5337690631808,79.8361401911698,25.3705815279361,25.3705815279361,24.2374727668845,20.2548930359581,74.6294184720639,74.6294184720639,71.2962962962963,59.5812471552116,0,1,0
"132","JC13A",315,26,226,63,0,1194,85,835,274,0,315,26,226,63,0,1194,85,835,274,0,1560,1898,"Fulton",1,1509,1509,82.1917808219178,96.7307692307692,79.504741833509,96.7307692307692,79.504741833509,20.8747514910537,20.8747514910537,20.1923076923077,16.5964172813488,79.1252485089463,79.1252485089463,76.5384615384615,62.9083245521602,0,1,0
"133","JC13B",27,3,20,4,0,176,18,130,28,0,27,3,20,4,0,176,18,130,28,0,210,259,"Fulton",1,203,203,81.0810810810811,96.6666666666667,78.3783783783784,96.6666666666667,78.3783783783784,13.3004926108374,13.3004926108374,12.8571428571429,10.4247104247104,86.6995073891626,86.6995073891626,83.8095238095238,67.953667953668,0,1,0
"134","JC14",503,40,372,91,0,1253,106,871,276,0,503,40,372,91,0,1253,106,871,276,0,1825,2197,"Fulton",1,1756,1756,83.0678197542103,96.2191780821918,79.9271734182977,96.2191780821918,79.9271734182977,28.6446469248292,28.6446469248292,27.5616438356164,22.8948566226673,71.3553530751708,71.3553530751708,68.6575342465753,57.0323167956304,0,1,0
"135","JC15",274,16,179,79,0,234,12,123,99,0,274,16,179,79,0,234,12,123,99,0,535,676,"Fulton",1,508,508,79.1420118343195,94.9532710280374,75.1479289940828,94.9532710280374,75.1479289940828,53.9370078740157,53.9370078740157,51.214953271028,40.5325443786982,46.0629921259843,46.0629921259843,43.7383177570093,34.6153846153846,1,0,0
"136","JC16",648,37,431,180,0,1132,47,664,420,1,648,37,431,180,0,1132,47,664,420,1,1862,2195,"Fulton",1,1780,1780,84.8291571753986,95.5961331901182,81.0933940774487,95.5961331901182,81.0933940774487,36.4044943820225,36.4044943820225,34.8012889366273,29.5216400911162,63.5955056179775,63.5955056179775,60.7948442534909,51.5717539863326,0,1,0
"137","JC18",617,23,464,129,1,1355,66,829,456,4,617,23,464,129,1,1355,66,829,456,4,2049,2455,"Fulton",1,1972,1972,83.4623217922607,96.2420693020986,80.3258655804481,96.2420693020986,80.3258655804481,31.2880324543611,31.2880324543611,30.1122498779893,25.132382892057,68.7119675456389,68.7119675456389,66.1298194241093,55.193482688391,0,1,0
"138","JC19",1007,41,808,157,1,1596,93,1192,309,2,1007,41,808,157,1,1596,93,1192,309,2,2701,3221,"Fulton",1,2603,2603,83.8559453585843,96.3717141799334,80.8134119838559,96.3717141799334,80.8134119838559,38.6861313868613,38.6861313868613,37.2824879674195,31.26358273828,61.3138686131387,61.3138686131387,59.0892262125139,49.5498292455759,0,1,0
"139","ML011",434,11,340,81,2,1237,54,878,301,4,434,11,340,81,2,1237,54,878,301,4,1740,2050,"Fulton",1,1671,1671,84.8780487804878,96.0344827586207,81.5121951219512,96.0344827586207,81.5121951219512,25.9724715739078,25.9724715739078,24.9425287356322,21.1707317073171,74.0275284260922,74.0275284260922,71.0919540229885,60.3414634146341,0,1,0
"140","ML012",68,3,54,11,0,271,18,201,52,0,68,3,54,11,0,271,18,201,52,0,352,430,"Fulton",1,339,339,81.8604651162791,96.3068181818182,78.8372093023256,96.3068181818182,78.8372093023256,20.0589970501475,20.0589970501475,19.3181818181818,15.8139534883721,79.9410029498525,79.9410029498525,76.9886363636364,63.0232558139535,0,1,0
"141","ML01B",18,2,16,0,0,40,0,31,9,0,18,2,16,0,0,40,0,31,9,0,60,70,"Fulton",1,58,58,85.7142857142857,96.6666666666667,82.8571428571429,96.6666666666667,82.8571428571429,31.0344827586207,31.0344827586207,30,25.7142857142857,68.9655172413793,68.9655172413793,66.6666666666667,57.1428571428571,0,1,0
"142","ML021",203,6,146,51,0,1087,13,698,376,0,203,6,146,51,0,1087,13,698,376,0,1331,1627,"Fulton",1,1290,1290,81.8070067609096,96.9196093163035,79.2870313460356,96.9196093163035,79.2870313460356,15.7364341085271,15.7364341085271,15.251690458302,12.4769514443762,84.2635658914729,84.2635658914729,81.6679188580015,66.8100799016595,0,1,0
"143","ML022",24,2,18,4,0,131,3,85,43,0,24,2,18,4,0,131,3,85,43,0,162,204,"Fulton",1,155,155,79.4117647058823,95.679012345679,75.9803921568627,95.679012345679,75.9803921568627,15.4838709677419,15.4838709677419,14.8148148148148,11.7647058823529,84.5161290322581,84.5161290322581,80.8641975308642,64.2156862745098,0,1,0
"144","ML023",174,12,126,35,1,842,33,606,202,1,174,12,126,35,1,842,33,606,202,1,1050,1281,"Fulton",1,1016,1016,81.9672131147541,96.7619047619048,79.3130366900859,96.7619047619048,79.3130366900859,17.1259842519685,17.1259842519685,16.5714285714286,13.5831381733021,82.8740157480315,82.8740157480315,80.1904761904762,65.7298985167838,0,1,0
"145","ML024",12,0,12,0,0,60,5,40,15,0,12,0,12,0,0,60,5,40,15,0,78,88,"Fulton",1,72,72,88.6363636363636,92.3076923076923,81.8181818181818,92.3076923076923,81.8181818181818,16.6666666666667,16.6666666666667,15.3846153846154,13.6363636363636,83.3333333333333,83.3333333333333,76.9230769230769,68.1818181818182,0,1,0
"146","ML03",544,35,389,120,0,2125,135,1400,585,5,544,35,389,120,0,2125,135,1400,585,5,2755,3312,"Fulton",1,2669,2669,83.1823671497584,96.8784029038112,80.5857487922705,96.8784029038112,80.5857487922705,20.3821656050955,20.3821656050955,19.7459165154265,16.4251207729469,79.6178343949045,79.6178343949045,77.1324863883847,64.1606280193237,0,1,0
"147","ML04A",317,24,214,79,0,895,49,633,213,0,317,24,214,79,0,895,49,633,213,0,1254,1528,"Fulton",1,1212,1212,82.0680628272251,96.6507177033493,79.3193717277487,96.6507177033493,79.3193717277487,26.1551155115512,26.1551155115512,25.2791068580542,20.7460732984293,73.8448844884488,73.8448844884488,71.3716108452951,58.5732984293194,0,1,0
"148","ML04B",175,17,117,41,0,683,54,437,192,0,175,17,117,41,0,683,54,437,192,0,882,1061,"Fulton",1,858,858,83.129123468426,97.2789115646258,80.8671065032988,97.2789115646258,80.8671065032988,20.3962703962704,20.3962703962704,19.8412698412698,16.4938737040528,79.6037296037296,79.6037296037296,77.437641723356,64.373232799246,0,1,0
"149","ML04C",15,1,12,2,0,55,0,44,11,0,15,1,12,2,0,55,0,44,11,0,72,74,"Fulton",1,70,70,97.2972972972973,97.2222222222222,94.5945945945946,97.2222222222222,94.5945945945946,21.4285714285714,21.4285714285714,20.8333333333333,20.2702702702703,78.5714285714286,78.5714285714286,76.3888888888889,74.3243243243243,0,1,0
"150","ML05A",17,2,12,3,0,16,2,11,3,0,17,2,12,3,0,16,2,11,3,0,33,35,"Fulton",1,33,33,94.2857142857143,100,94.2857142857143,100,94.2857142857143,51.5151515151515,51.5151515151515,51.5151515151515,48.5714285714286,48.4848484848485,48.4848484848485,48.4848484848485,45.7142857142857,1,0,0
"151","ML05B",65,7,36,22,0,207,11,137,59,0,65,7,36,22,0,207,11,137,59,0,279,329,"Fulton",1,272,272,84.8024316109423,97.4910394265233,82.6747720364742,97.4910394265233,82.6747720364742,23.8970588235294,23.8970588235294,23.2974910394265,19.7568389057751,76.1029411764706,76.1029411764706,74.1935483870968,62.9179331306991,0,1,0
"152","ML05C",1005,60,683,262,0,1724,108,1034,582,0,1005,60,683,262,0,1724,108,1034,582,0,2826,3503,"Fulton",1,2729,2729,80.6737082500714,96.5675866949752,77.904653154439,96.5675866949752,77.904653154439,36.8266764382558,36.8266764382558,35.5626326963907,28.6896945475307,63.1733235617442,63.1733235617442,61.0049539985846,49.2149586069084,0,1,0
"153","ML06A",593,9,390,191,3,482,17,260,204,1,593,9,390,191,3,482,17,260,204,1,1132,1514,"Fulton",1,1075,1075,74.7688243064729,94.9646643109541,71.003963011889,94.9646643109541,71.003963011889,55.1627906976744,55.1627906976744,52.3851590106007,39.1677675033025,44.8372093023256,44.8372093023256,42.5795053003534,31.8361955085865,1,0,0
"154","ML06B",862,29,560,273,0,918,47,550,321,0,862,29,560,273,0,918,47,550,321,0,1875,2340,"Fulton",1,1780,1780,80.1282051282051,94.9333333333333,76.0683760683761,94.9333333333333,76.0683760683761,48.4269662921348,48.4269662921348,45.9733333333333,36.8376068376068,51.5730337078652,51.5730337078652,48.96,39.2307692307692,0,1,0
"155","ML071",20,2,12,6,0,58,1,28,29,0,20,2,12,6,0,58,1,28,29,0,80,84,"Fulton",1,78,78,95.2380952380952,97.5,92.8571428571429,97.5,92.8571428571429,25.6410256410256,25.6410256410256,25,23.8095238095238,74.3589743589744,74.3589743589744,72.5,69.0476190476191,0,1,0
"156","ML072",174,11,100,63,0,621,61,308,252,0,174,11,100,63,0,621,61,308,252,0,818,952,"Fulton",1,795,795,85.9243697478992,97.1882640586797,83.5084033613445,97.1882640586797,83.5084033613445,21.8867924528302,21.8867924528302,21.2713936430318,18.2773109243697,78.1132075471698,78.1132075471698,75.9168704156479,65.2310924369748,0,1,0
"157","ML07A",96,4,65,26,1,387,24,197,166,0,96,4,65,26,1,387,24,197,166,0,505,615,"Fulton",1,483,483,82.1138211382114,95.6435643564356,78.5365853658537,95.6435643564356,78.5365853658537,19.8757763975155,19.8757763975155,19.009900990099,15.609756097561,80.1242236024845,80.1242236024845,76.6336633663366,62.9268292682927,0,1,0
"158","MP01",150,5,28,117,0,182,4,23,154,1,150,5,28,117,0,182,4,23,154,1,339,408,"Fulton",1,332,332,83.0882352941177,97.9351032448378,81.3725490196078,97.9351032448378,81.3725490196078,45.1807228915663,45.1807228915663,44.2477876106195,36.7647058823529,54.8192771084337,54.8192771084337,53.6873156342183,44.6078431372549,0,1,0
"159","RW01",973,84,649,239,1,2443,208,1456,779,0,973,84,649,239,1,2443,208,1456,779,0,3541,4176,"Fulton",1,3416,3416,84.794061302682,96.469923750353,81.8007662835249,96.469923750353,81.8007662835249,28.483606557377,28.483606557377,27.4781135272522,23.2998084291188,71.516393442623,71.516393442623,68.9918102231008,58.5009578544061,0,1,0
"160","RW02",962,54,633,274,1,1844,93,1113,632,6,962,54,633,274,1,1844,93,1113,632,6,2924,3443,"Fulton",1,2806,2806,84.9259366831252,95.9644322845417,81.4986930002904,95.9644322845417,81.4986930002904,34.2836778332145,34.2836778332145,32.9001367989056,27.9407493465001,65.7163221667855,65.7163221667855,63.0642954856361,53.5579436537903,0,1,0
"161","RW03",1211,47,753,409,2,1517,78,880,556,3,1211,47,753,409,2,1517,78,880,556,3,2858,3605,"Fulton",1,2728,2728,79.2787794729542,95.4513645906228,75.6726768377254,95.4513645906228,75.6726768377254,44.391495601173,44.391495601173,42.3722883135059,33.5922330097087,55.608504398827,55.608504398827,53.0790762771169,42.0804438280166,0,1,0
"162","RW04",492,14,373,105,0,849,42,522,285,0,492,14,373,105,0,849,42,522,285,0,1396,1634,"Fulton",1,1341,1341,85.4345165238678,96.0601719197708,82.0685434516524,96.0601719197708,82.0685434516524,36.6890380313199,36.6890380313199,35.243553008596,30.1101591187271,63.3109619686801,63.3109619686801,60.8166189111748,51.9583843329253,0,1,0
"163","RW05",645,23,384,237,1,541,29,290,222,0,645,23,384,237,1,541,29,290,222,0,1233,1739,"Fulton",1,1186,1186,70.9028177113284,96.1881589618816,68.2001150086256,96.1881589618816,68.2001150086256,54.3844856661046,54.3844856661046,52.3114355231144,37.0902817711328,45.6155143338954,45.6155143338954,43.8767234387672,31.1098332374928,1,0,0
"164","RW06",761,32,485,244,0,1188,77,644,467,0,761,32,485,244,0,1188,77,644,467,0,2025,2459,"Fulton",1,1949,1949,82.35054900366,96.2469135802469,79.2598617324116,96.2469135802469,79.2598617324116,39.0456644433043,39.0456644433043,37.5802469135802,30.9475396502643,60.9543355566957,60.9543355566957,58.6666666666667,48.3123220821472,0,1,0
"165","RW07A",528,11,264,248,5,148,2,76,70,0,528,11,264,248,5,148,2,76,70,0,706,1110,"Fulton",1,676,676,63.6036036036036,95.7507082152975,60.9009009009009,95.7507082152975,60.9009009009009,78.1065088757396,78.1065088757396,74.7875354107649,47.5675675675676,21.8934911242604,21.8934911242604,20.9631728045326,13.3333333333333,1,0,0
"166","RW07B",150,3,76,70,1,89,4,45,40,0,150,3,76,70,1,89,4,45,40,0,252,317,"Fulton",1,239,239,79.4952681388013,94.8412698412698,75.3943217665615,94.8412698412698,75.3943217665615,62.7615062761506,62.7615062761506,59.5238095238095,47.3186119873817,37.2384937238494,37.2384937238494,35.3174603174603,28.0757097791798,1,0,0
"167","RW08",381,47,231,102,1,1175,114,685,374,2,381,47,231,102,1,1175,114,685,374,2,1618,1955,"Fulton",1,1556,1556,82.7621483375959,96.168108776267,79.5907928388747,96.168108776267,79.5907928388747,24.4858611825193,24.4858611825193,23.5475896168109,19.4884910485933,75.5141388174807,75.5141388174807,72.6205191594561,60.1023017902813,0,1,0
"168","RW09",1079,91,755,229,4,3302,249,2004,1035,14,1079,91,755,229,4,3302,249,2004,1035,14,4498,5303,"Fulton",1,4381,4381,84.8199132566472,97.3988439306358,82.6136149349425,97.3988439306358,82.6136149349425,24.6290801186944,24.6290801186944,23.9884393063584,20.3469734112766,75.3709198813056,75.3709198813056,73.4104046242775,62.2666415236658,0,1,0
"169","RW10",657,56,456,144,1,1726,117,1028,577,4,657,56,456,144,1,1726,117,1028,577,4,2504,2944,"Fulton",1,2383,2383,85.054347826087,95.167731629393,80.9442934782609,95.167731629393,80.9442934782609,27.5702895509862,27.5702895509862,26.2380191693291,22.3165760869565,72.4297104490139,72.4297104490139,68.9297124600639,58.6277173913044,0,1,0
"170","RW11A",676,21,434,217,4,1065,47,567,451,0,676,21,434,217,4,1065,47,567,451,0,1810,2250,"Fulton",1,1741,1741,80.4444444444444,96.1878453038674,77.3777777777778,96.1878453038674,77.3777777777778,38.8282596209075,38.8282596209075,37.3480662983425,30.0444444444444,61.1717403790925,61.1717403790925,58.8397790055249,47.3333333333333,0,1,0
"171","RW12",1235,73,855,303,4,3106,205,1808,1091,2,1235,73,855,303,4,3106,205,1808,1091,2,4505,5256,"Fulton",1,4341,4341,85.7115677321157,96.3596004439512,82.5913242009132,96.3596004439512,82.5913242009132,28.4496659755817,28.4496659755817,27.4139844617092,23.4969558599696,71.5503340244183,71.5503340244183,68.9456159822419,59.0943683409437,0,1,0
"172","RW13",871,37,555,277,2,1632,96,894,641,1,871,37,555,277,2,1632,96,894,641,1,2592,3127,"Fulton",1,2503,2503,82.890949792133,96.5663580246914,80.0447713463383,96.5663580246914,80.0447713463383,34.7982421094686,34.7982421094686,33.6033950617284,27.8541733290694,65.2017578905314,65.2017578905314,62.962962962963,52.1905980172689,0,1,0
"173","RW16",445,16,294,135,0,900,61,528,311,0,445,16,294,135,0,900,61,528,311,0,1381,1641,"Fulton",1,1345,1345,84.1560024375381,97.3931933381608,81.9622181596587,97.3931933381608,81.9622181596587,33.0855018587361,33.0855018587361,32.2230267921796,27.1176112126752,66.9144981412639,66.9144981412639,65.1701665459812,54.8446069469835,0,1,0
"174","RW17",828,36,562,227,3,891,46,553,292,0,828,36,562,227,3,891,46,553,292,0,1800,2351,"Fulton",1,1719,1719,76.5631646108039,95.5,73.1178222033177,95.5,73.1178222033177,48.1675392670157,48.1675392670157,46,35.2190557209698,51.8324607329843,51.8324607329843,49.5,37.8987664823479,0,1,0
"175","RW19",393,24,267,102,0,1115,70,604,441,0,393,24,267,102,0,1115,70,604,441,0,1550,1834,"Fulton",1,1508,1508,84.5147219193021,97.2903225806452,82.2246455834242,97.2903225806452,82.2246455834242,26.0610079575597,26.0610079575597,25.3548387096774,21.4285714285714,73.9389920424403,73.9389920424403,71.9354838709677,60.7960741548528,0,1,0
"176","RW20",700,25,561,113,1,1302,65,916,319,2,700,25,561,113,1,1302,65,916,319,2,2068,2224,"Fulton",1,2002,2002,92.9856115107914,96.8085106382979,90.0179856115108,96.8085106382979,90.0179856115108,34.965034965035,34.965034965035,33.8491295938104,31.4748201438849,65.034965034965,65.034965034965,62.9593810444874,58.5431654676259,0,1,0
"177","RW21",656,37,461,158,0,1602,106,1114,380,2,656,37,461,158,0,1602,106,1114,380,2,2336,2833,"Fulton",1,2258,2258,82.4567596187787,96.6609589041096,79.7034945287681,96.6609589041096,79.7034945287681,29.052258635961,29.052258635961,28.0821917808219,23.1556653723968,70.947741364039,70.947741364039,68.5787671232877,56.5478291563713,0,1,0
"178","RW22A",1263,28,816,419,0,1160,58,787,315,0,1263,28,816,419,0,1160,58,787,315,0,2539,3384,"Fulton",1,2423,2423,75.0295508274232,95.4312721543915,71.6016548463357,95.4312721543915,71.6016548463357,52.125464300454,52.125464300454,49.7439936983064,37.322695035461,47.874535699546,47.874535699546,45.6872784560851,34.2789598108747,1,0,0
"179","SS01",580,48,381,151,0,1611,129,865,617,0,580,48,381,151,0,1611,129,865,617,0,2276,2698,"Fulton",1,2191,2191,84.3587842846553,96.2653778558875,81.2083024462565,96.2653778558875,81.2083024462565,26.4719306252853,26.4719306252853,25.4833040421793,21.4974054855448,73.5280693747147,73.5280693747147,70.7820738137083,59.7108969607116,0,1,0
"180","SS02A",340,25,245,66,4,425,28,311,86,0,340,25,245,66,4,425,28,311,86,0,801,1017,"Fulton",1,765,765,78.7610619469027,95.5056179775281,75.2212389380531,95.5056179775281,75.2212389380531,44.4444444444444,44.4444444444444,42.4469413233458,33.4316617502458,55.5555555555556,55.5555555555556,53.0586766541823,41.7895771878073,0,1,0
"181","SS02B",466,14,356,96,0,290,17,204,68,1,466,14,356,96,0,290,17,204,68,1,797,1049,"Fulton",1,756,756,75.9771210676835,94.8557089084065,72.0686367969495,94.8557089084065,72.0686367969495,61.6402116402116,61.6402116402116,58.4692597239649,44.4232602478551,38.3597883597884,38.3597883597884,36.3864491844417,27.6453765490944,1,0,0
"182","SS03",368,20,254,94,0,608,26,345,236,1,368,20,254,94,0,608,26,345,236,1,1015,1194,"Fulton",1,976,976,85.0083752093802,96.1576354679803,81.7420435510888,96.1576354679803,81.7420435510888,37.7049180327869,37.7049180327869,36.256157635468,30.820770519263,62.2950819672131,62.2950819672131,59.9014778325123,50.9212730318258,0,1,0
"183","SS04",1040,43,663,326,8,935,34,556,343,2,1040,43,663,326,8,935,34,556,343,2,2071,2703,"Fulton",1,1975,1975,76.6185719570847,95.364558184452,73.0669626341103,95.364558184452,73.0669626341103,52.6582278481013,52.6582278481013,50.2172863351038,38.4757676655568,47.3417721518987,47.3417721518987,45.1472718493481,34.5911949685535,1,0,0
"184","SS05",482,38,344,100,0,893,35,533,325,0,482,38,344,100,0,893,35,533,325,0,1428,1629,"Fulton",1,1375,1375,87.6611418047882,96.2885154061625,84.4076120319214,96.2885154061625,84.4076120319214,35.0545454545455,35.0545454545455,33.7535014005602,29.5887047268263,64.9454545454546,64.9454545454546,62.5350140056022,54.8189073050952,0,1,0
"185","SS06",306,13,234,46,13,713,42,460,203,8,306,13,234,46,13,713,42,460,203,8,1064,1203,"Fulton",1,1019,1019,88.4455527847049,95.7706766917293,84.7049044056525,95.7706766917293,84.7049044056525,30.0294406280667,30.0294406280667,28.7593984962406,25.4364089775561,69.9705593719333,69.9705593719333,67.0112781954887,59.2684954280964,0,1,0
"186","SS07A",184,22,127,35,0,460,84,269,107,0,184,22,127,35,0,460,84,269,107,0,678,821,"Fulton",1,644,644,82.5822168087698,94.9852507374631,78.4409257003654,94.9852507374631,78.4409257003654,28.5714285714286,28.5714285714286,27.1386430678466,22.4116930572473,71.4285714285714,71.4285714285714,67.8466076696165,56.0292326431181,0,1,0
"187","SS07B",148,11,106,31,0,205,18,117,70,0,148,11,106,31,0,205,18,117,70,0,370,456,"Fulton",1,353,353,81.140350877193,95.4054054054054,77.4122807017544,95.4054054054054,77.4122807017544,41.9263456090652,41.9263456090652,40,32.4561403508772,58.0736543909348,58.0736543909348,55.4054054054054,44.9561403508772,0,1,0
"188","SS07C",178,40,93,45,0,297,74,150,73,0,178,40,93,45,0,297,74,150,73,0,511,686,"Fulton",1,475,475,74.4897959183673,92.9549902152642,69.2419825072886,92.9549902152642,69.2419825072886,37.4736842105263,37.4736842105263,34.8336594911937,25.9475218658892,62.5263157894737,62.5263157894737,58.1213307240704,43.2944606413994,0,1,0
"189","SS08A",416,17,247,151,1,364,14,201,149,0,416,17,247,151,1,364,14,201,149,0,825,1063,"Fulton",1,780,780,77.6105362182502,94.5454545454545,73.3772342427093,94.5454545454545,73.3772342427093,53.3333333333333,53.3333333333333,50.4242424242424,39.134524929445,46.6666666666667,46.6666666666667,44.1212121212121,34.2427093132643,1,0,0
"190","SS08B",148,11,110,27,0,279,20,170,89,0,148,11,110,27,0,279,20,170,89,0,447,566,"Fulton",1,427,427,78.9752650176679,95.5257270693512,75.4416961130742,95.5257270693512,75.4416961130742,34.6604215456674,34.6604215456674,33.1096196868009,26.1484098939929,65.3395784543326,65.3395784543326,62.4161073825503,49.2932862190813,0,1,0
"191","SS08C",184,6,140,38,0,183,14,110,59,0,184,6,140,38,0,183,14,110,59,0,394,509,"Fulton",1,367,367,77.4066797642436,93.1472081218274,72.1021611001965,93.1472081218274,72.1021611001965,50.1362397820163,50.1362397820163,46.7005076142132,36.1493123772102,49.8637602179837,49.8637602179837,46.4467005076142,35.9528487229862,1,0,0
"192","SS08D",382,22,256,104,0,350,28,217,105,0,382,22,256,104,0,350,28,217,105,0,771,1001,"Fulton",1,732,732,77.022977022977,94.9416342412451,73.1268731268731,94.9416342412451,73.1268731268731,52.1857923497268,52.1857923497268,49.5460440985733,38.1618381618382,47.8142076502732,47.8142076502732,45.3955901426719,34.965034965035,1,0,0
"193","SS11A",1147,62,708,372,5,1232,91,640,493,8,1147,62,708,372,5,1232,91,640,493,8,2497,3165,"Fulton",1,2379,2379,78.8941548183254,95.274329195034,75.1658767772512,95.274329195034,75.1658767772512,48.213535098781,48.213535098781,45.9351221465759,36.2401263823065,51.786464901219,51.786464901219,49.3392070484581,38.9257503949447,0,1,0
"194","SS11B",424,17,267,138,2,311,14,198,97,2,424,17,267,138,2,311,14,198,97,2,771,1009,"Fulton",1,735,735,76.412289395441,95.3307392996109,72.8444003964321,95.3307392996109,72.8444003964321,57.687074829932,57.687074829932,54.9935149156939,42.0218037661051,42.312925170068,42.312925170068,40.337224383917,30.8225966303271,1,0,0
"195","SS11C",104,3,55,46,0,47,2,25,20,0,104,3,55,46,0,47,2,25,20,0,158,222,"Fulton",1,151,151,71.1711711711712,95.5696202531646,68.018018018018,95.5696202531646,68.018018018018,68.8741721854305,68.8741721854305,65.8227848101266,46.8468468468468,31.1258278145695,31.1258278145695,29.746835443038,21.1711711711712,1,0,0
"196","SS12",643,62,418,162,1,1151,107,683,360,1,643,62,418,162,1,1151,107,683,360,1,1896,2290,"Fulton",1,1794,1794,82.7947598253275,94.620253164557,78.3406113537118,94.620253164557,78.3406113537118,35.8416945373467,35.8416945373467,33.9135021097046,28.0786026200873,64.1583054626533,64.1583054626533,60.7067510548523,50.2620087336245,0,1,0
"197","SS15A",930,24,488,418,0,287,25,142,120,0,930,24,488,418,0,287,25,142,120,0,1271,2011,"Fulton",1,1217,1217,63.2023868722029,95.7513768686074,60.5171556439582,95.7513768686074,60.5171556439582,76.417419884963,76.417419884963,73.1707317073171,46.2456489308802,23.582580115037,23.582580115037,22.5806451612903,14.2715067130781,1,0,0
"198","SS15B",545,13,312,220,0,387,21,207,159,0,545,13,312,220,0,387,21,207,159,0,972,1318,"Fulton",1,932,932,73.7481031866464,95.8847736625514,70.7132018209408,95.8847736625514,70.7132018209408,58.4763948497854,58.4763948497854,56.0699588477366,41.350531107739,41.5236051502146,41.5236051502146,39.8148148148148,29.3626707132018,1,0,0
"199","SS16",413,26,300,87,0,1146,81,614,450,1,413,26,300,87,0,1146,81,614,450,1,1618,1886,"Fulton",1,1559,1559,85.7900318133616,96.353522867738,82.661717921527,96.353522867738,82.661717921527,26.4913406029506,26.4913406029506,25.5253399258344,21.898197242842,73.5086593970494,73.5086593970494,70.8281829419036,60.763520678685,0,1,0
"200","SS17",859,52,553,250,4,1488,106,890,491,1,859,52,553,250,4,1488,106,890,491,1,2421,3028,"Fulton",1,2347,2347,79.9537648612946,96.9434118133003,77.5099075297226,96.9434118133003,77.5099075297226,36.5999147848317,36.5999147848317,35.4812061131764,28.3685601056803,63.4000852151683,63.4000852151683,61.4622057001239,49.1413474240423,0,1,0
"201","SS18A",144,9,107,27,1,342,21,206,115,0,144,9,107,27,1,342,21,206,115,0,503,578,"Fulton",1,486,486,87.0242214532872,96.6202783300199,84.083044982699,96.6202783300199,84.083044982699,29.6296296296296,29.6296296296296,28.6282306163022,24.9134948096886,70.3703703703704,70.3703703703704,67.9920477137177,59.1695501730104,0,1,0
"202","SS18B",60,2,48,10,0,122,8,74,40,0,60,2,48,10,0,122,8,74,40,0,187,213,"Fulton",1,182,182,87.7934272300469,97.3262032085562,85.4460093896714,97.3262032085562,85.4460093896714,32.967032967033,32.967032967033,32.0855614973262,28.169014084507,67.032967032967,67.032967032967,65.2406417112299,57.2769953051643,0,1,0
"203","SS19A",1145,37,802,305,1,614,26,421,167,0,1145,37,802,305,1,614,26,421,167,0,1837,2527,"Fulton",1,1759,1759,72.6948951325683,95.7539466521502,69.608231104076,95.7539466521502,69.608231104076,65.093803297328,65.093803297328,62.3298856831791,45.3106450336367,34.906196702672,34.906196702672,33.4240609689711,24.2975860704393,1,0,0
"204","SS19B",795,15,565,213,2,504,29,366,109,0,795,15,565,213,2,504,29,366,109,0,1352,1842,"Fulton",1,1299,1299,73.3984799131379,96.0798816568047,70.5211726384365,96.0798816568047,70.5211726384365,61.2009237875289,61.2009237875289,58.801775147929,43.1596091205212,38.7990762124711,38.7990762124711,37.2781065088757,27.3615635179153,1,0,0
"205","SS20",616,20,396,198,2,531,29,367,135,0,616,20,396,198,2,531,29,367,135,0,1209,1639,"Fulton",1,1147,1147,73.764490543014,94.8717948717949,69.9816961561928,94.8717948717949,69.9816961561928,53.7053182214473,53.7053182214473,50.9511993382961,37.5838926174497,46.2946817785527,46.2946817785527,43.9205955334988,32.3978035387431,1,0,0
"206","SS22",823,71,516,232,4,821,69,437,313,2,823,71,516,232,4,821,69,437,313,2,1735,2337,"Fulton",1,1644,1644,74.2404792468977,94.7550432276657,70.3465982028241,94.7550432276657,70.3465982028241,50.0608272506083,50.0608272506083,47.4351585014409,35.2160890029953,49.9391727493917,49.9391727493917,47.3198847262248,35.1305091998288,1,0,0
"207","SS25",340,29,215,96,0,779,73,431,275,0,340,29,215,96,0,779,73,431,275,0,1170,1428,"Fulton",1,1119,1119,81.9327731092437,95.6410256410256,78.3613445378151,95.6410256410256,78.3613445378151,30.3842716711349,30.3842716711349,29.0598290598291,23.8095238095238,69.6157283288651,69.6157283288651,66.5811965811966,54.5518207282913,0,1,0
